User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
0,0,2002,9,1,06:21,$134.09,Swipe Transaction,3527213246127876953,La Verne,CA,91750.0,5300,,No
0,0,2002,9,1,06:42,$38.48,Swipe Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,No
0,1,2002,9,2,06:22,$120.34,Online Transaction,-727612092139916043,Monterey Park,CA,91754.0,5411,,Yes
0,2,2002,9,2,17:45,$128.95,Chip Transaction,3414527459579106770,Monterey Park,CA,91754.0,5651,,No
0,0,2002,9,3,06:23,$104.71,Swipe Transaction,5817218446178736267,La Verne,CA,91750.0,5912,,No
0,0,2004,8,29,13:27,$50.00,Swipe Transaction,1799189980464955940,Mount Laurel,NJ,8054.0,5499,,No
0,0,2004,8,30,06:03,$130.89,Swipe Transaction,2021711124810092453,Marlton,MD,8053.0,5411,,No
0,0,2004,9,1,06:06,$92.83,Online Transaction,-7421093378627544099, ONLINE,,,5311,,No
0,0,2004,9,1,13:04,$10.09,Swipe Transaction,-4500542936415012428,Marlton,NJ,8053.0,5814,,No
0,0,2004,7,22,06:32,$38.26,Swipe Transaction,3510944833163794547,Tallinn,Estonia,,5912,,Yes
0,0,2004,2,16,16:59,$21.50,Swipe Transaction,1913477460590765860,El Paso,TX,79927.0,5300,,Yes
0,0,2004,2,18,06:14,$131.84,Swipe Transaction,2027553650310142703,Odessa,TX,79764.0,5541,,No
